French,English
police,police
pensais,thought
aide,help
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
place,square
compris,understood
étaient,were
attention,Warning
leurs,their
donné,given
train,train
corps,body
écoute,listen
premier,first
main,hand
première,first
vieux,old
sois,be
enfant,child
point,point
venu,came
suite,after
pardon,sorry
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
belle,beautiful
droit,law
mari,husband
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
croire,believe
chérie,sweetheart
bureau,office
